iter	Passed	Remaining
403	11480	16936
404	11511	16911
405	11539	16882
406	11568	16855
407	11596	16826
408	11625	16798
409	11654	16770
410	11686	16747
411	11714	16719
412	11744	16692
413	11772	16663
414	11818	16659
415	11844	16627
416	11870	16596
417	11898	16566
418	11932	16545
419	11961	16518
420	12001	16505
421	12042	16494
422	12070	16464
423	12097	16434
424	12125	16404
425	12158	16382
426	12200	16372
427	12229	16344
428	12256	16313
429	12285	16285
430	12313	16256
431	12340	16225
432	12368	16196
433	12397	16168
434	12426	16139
435	12455	16112
436	12484	16084
437	12513	16055
438	12540	16025
439	12568	15995
440	12595	15965
441	12621	15934
442	12650	15905
443	12678	15876
444	12704	15845
445	12730	15813
446	12757	15782
447	12785	15753
448	12812	15723
449	12840	15693
450	12867	15663
451	12896	15635
452	12923	15605
453	12951	15576
454	12980	15547
455	13008	15518
456	13039	15493
457	13066	15462
458	13093	15432
459	13121	15403
460	13148	15373
461	13178	15346
462	13205	15315
463	13231	15285
464	13258	15254
465	13285	15223
466	13311	15193
467	13339	15163
468	13366	15133
469	13393	15102
470	13422	15075
471	13450	15046
472	13478	15016
473	13507	14989
474	13534	14958
475	13562	14930
476	13591	14902
477	13618	14871
478	13644	14841
479	13671	14810
480	13698	14780
481	13724	14749
482	13751	14719
483	13781	14692
484	13809	14663
485	13837	14634
486	13868	14608
487	13898	14581
488	13924	14551
489	13961	14531
490	13996	14509
491	14025	14481
492	14056	14455
493	14091	14434
494	14117	14402
495	14145	14373
496	14173	14344
497	14203	14317
498	14232	14289
499	14257	14257
500	14288	14231
501	14316	14202
502	14343	14172
503	14370	14142
504	14396	14111
505	14425	14083
506	14454	14055
507	14481	14025
508	14508	13995
509	14535	13965
510	14562	13935
511	14589	13905
512	14616	13875
513	14643	13846
514	14670	13816
515	14696	13785
516	14723	13755
517	14750	13725
518	14779	13697
519	14805	13666
520	14832	13636
521	14860	13607
522	14887	13577
523	14914	13547
524	14941	13518
525	14968	13488
526	14994	13458
527	15021	13428
528	15048	13398
529	15088	13380
530	15117	13352
531	15146	13324
532	15173	13294
533	15200	13264
534	15230	13237
535	15258	13208
536	15286	13180
537	15312	13149
538	15340	13120
539	15367	13091
540	15397	13063
541	15425	13034
542	15452	13005
543	15481	12976
544	15508	12947
545	15534	12917
546	15569	12893
547	15600	12867
548	15626	12836
549	15652	12806
550	15679	12776
551	15706	12747
552	15733	12717
553	15760	12687
554	15787	12658
555	15814	12628
556	15842	12600
557	15875	12575
558	15908	12550
559	15941	12525
560	15968	12495
561	15995	12466
562	16023	12437
563	16052	12409
564	16079	12379
565	16115	12357
566	16144	12329
567	16172	12300
568	16199	12270
569	16227	12241
570	16256	12213
571	16282	12183
572	16308	12153
573	16334	12123
574	16362	12094
575	16392	12066
576	16416	12035
577	16444	12006
578	16477	11980
579	16504	11951
580	16531	11922
581	16557	11891
582	16585	11863
583	16613	11834
584	16641	11805
585	16669	11776
586	16695	11746
587	16722	11717
588	16750	11688
589	16777	11659
590	16805	11630
591	16833	11601
592	16860	11572
593	16888	11543
594	16914	11513
595	16941	11483
596	16968	11454
597	16995	11425
598	17023	11396
599	17051	11367
600	17077	11337
601	17104	11308
602	17131	11279
603	17158	11249
604	17190	11223
605	17217	11194
606	17245	11165
607	17272	11136
608	17298	11106
609	17325	11076
610	17367	11057
611	17395	11028
612	17421	10998
613	17448	10969
614	17475	10939
615	17504	10911
616	17538	10886
617	17564	10857
618	17592	10828
619	17619	10798
620	17645	10769
621	17674	10740
622	17703	10713
623	17732	10684
624	17758	10654
625	17784	10625
626	17811	10595
627	17839	10567
628	17866	10538
629	17892	10508
630	17920	10479
631	17957	10456
632	17989	10429
633	18025	10405
634	18052	10376
635	18079	10347
636	18105	10317
637	18133	10288
638	18162	10260
639	18189	10231
640	18218	10203
641	18245	10174
642	18289	10154
643	18319	10126
644	18346	10097
645	18375	10069
646	18406	10042
647	18433	10013
648	18459	9983
649	18485	9953
650	18513	9925
651	18545	9898
652	18573	9869
653	18601	9841
654	18628	9811
655	18655	9782
656	18683	9753
657	18710	9724
658	18734	9694
659	18762	9665
660	18793	9638
661	18823	9610
662	18849	9581
663	18876	9552
664	18903	9522
665	18931	9493
666	18958	9464
667	18983	9435
668	19010	9405
669	19037	9376
670	19064	9347
671	19091	9318
672	19118	9289
673	19146	9260
674	19173	9231
675	19200	9202
676	19228	9173
677	19259	9146
678	19286	9117
679	19318	9091
680	19345	9061
681	19371	9032
682	19397	9003
683	19427	8975
684	19455	8946
685	19482	8917
686	19509	8888
687	19535	8859
688	19563	8830
689	19591	8801
690	19617	8772
691	19645	8743
692	19677	8717
693	19705	8688
694	19732	8659
695	19758	8630
696	19785	8601
697	19816	8573
698	19843	8545
699	19872	8516
700	19905	8490
701	19939	8464
702	19968	8436
703	19999	8408
704	20030	8381
705	20063	8354
706	20094	8327
707	20139	8306
708	20173	8279
709	20200	8250
710	20227	8221
711	20255	8193
712	20285	8165
713	20311	8136
714	20338	8107
715	20369	8079
716	20398	8051
717	20435	8026
718	20470	8000
719	20498	7971
720	20525	7942
721	20555	7914
722	20583	7886
723	20610	7857
724	20639	7828
725	20666	7799
726	20693	7770
727	20720	7741
728	20746	7712
729	20772	7683
730	20802	7655
731	20838	7629
732	20865	7600
733	20892	7571
734	20918	7542
735	20950	7514
736	20983	7488
737	21017	7461
738	21044	7432
739	21076	7405
740	21103	7376
741	21130	7347
742	21157	7318
743	21185	7289
744	21213	7261
745	21242	7232
746	21269	7203
747	21295	7174
748	21322	7145
749	21348	7116
750	21375	7087
751	21407	7059
752	21433	7030
753	21460	7001
754	21489	6973
755	21516	6944
756	21543	6915
757	21581	6890
758	21608	6861
759	21639	6833
760	21665	6804
761	21693	6775
762	21720	6746
763	21747	6717
764	21773	6688
765	21800	6659
766	21826	6630
767	21853	6601
768	21880	6572
769	21908	6544
770	21936	6515
771	21963	6486
772	21992	6458
773	22019	6429
774	22047	6400
775	22075	6372
776	22102	6343
777	22129	6314
778	22157	6286
779	22184	6257
780	22212	6228
781	22239	6199
782	22266	6170
783	22293	6141
784	22319	6112
785	22345	6083
786	22374	6055
787	22404	6027
788	22433	5999
789	22467	5972
790	22494	5943
791	22521	5914
792	22550	5886
793	22578	5857
794	22626	5834
795	22652	5805
796	22679	5776
797	22707	5748
798	22738	5720
799	22767	5691
800	22795	5663
801	22823	5634
802	22851	5606
803	22879	5577
804	22905	5548
805	22932	5519
806	22960	5491
807	22987	5462
808	23015	5433
809	23040	5404
810	23068	5376
811	23096	5347
812	23124	5318
813	23151	5290
814	23179	5261
815	23207	5232
816	23235	5204
817	23262	5175
818	23288	5146
819	23316	5118
820	23343	5089
821	23371	5060
822	23398	5032
823	23425	5003
824	23468	4978
825	23496	4949
826	23526	4921
827	23554	4892
828	23582	4864
829	23608	4835
830	23635	4806
831	23662	4778
832	23689	4749
833	23715	4720
834	23745	4692
835	23772	4663
836	23814	4637
837	23842	4609
838	23869	4580
839	23897	4551
840	23924	4523
841	23951	4494
842	23978	4465
843	24005	4436
844	24031	4408
845	24057	4379
846	24088	4351
847	24123	4324
848	24151	4295
849	24178	4266
850	24204	4237
851	24231	4209
852	24268	4182
853	24299	4154
854	24330	4126
855	24372	4100
856	24400	4071
857	24426	4042
858	24453	4013
859	24480	3985
860	24507	3956
861	24538	3928
862	24566	3899
863	24593	3871
864	24625	3843
865	24653	3814
866	24679	3785
867	24707	3757
868	24734	3728
869	24780	3702
870	24808	3674
871	24834	3645
872	24864	3617
873	24895	3589
874	24922	3560
875	24947	3531
876	24975	3502
877	25002	3474
878	25033	3445
879	25061	3417
880	25088	3388
881	25114	3360
882	25142	3331
883	25171	3303
884	25197	3274
885	25226	3245
886	25252	3217
887	25281	3188
888	25308	3160
889	25336	3131
890	25363	3102
891	25392	3074
892	25419	3045
893	25445	3017
894	25473	2988
895	25500	2959
896	25527	2931
897	25555	2902
898	25590	2874
899	25617	2846
900	25649	2818
901	25681	2790
902	25711	2761
903	25743	2733
904	25771	2705
905	25801	2676
906	25829	2648
907	25857	2619
908	25885	2591
909	25916	2563
910	25944	2534
911	25972	2506
912	25999	2477
913	26026	2448
