iter	Passed	Remaining
400	30036	39174
401	30112	39101
402	30187	39026
403	30264	38953
404	30356	38901
405	30433	38828
406	30512	38758
407	30588	38684
408	30665	38612
409	30742	38540
410	30816	38464
411	30897	38397
412	30975	38326
413	31050	38250
414	31127	38177
415	31204	38106
416	31278	38029
417	31354	37955
418	31428	37879
419	31506	37808
420	31582	37733
421	31660	37662
422	31736	37589
423	31812	37514
424	31888	37440
425	31961	37363
426	32037	37289
427	32111	37212
428	32187	37139
429	32261	37063
430	32337	36989
431	32412	36913
432	32490	36842
433	32567	36769
434	32646	36699
435	32722	36625
436	32797	36550
437	32877	36480
438	32954	36407
439	33029	36332
440	33105	36257
441	33178	36181
442	33254	36106
443	33330	36032
444	33404	35956
445	33477	35879
446	33554	35806
447	33629	35731
448	33703	35655
449	33780	35582
450	33854	35505
451	33931	35432
452	34004	35355
453	34079	35280
454	34157	35208
455	34230	35131
456	34305	35056
457	34380	34980
458	34454	34905
459	34531	34831
460	34610	34760
461	34685	34685
462	34761	34611
463	34839	34539
464	34913	34463
465	34990	34389
466	35069	34318
467	35141	34240
468	35217	34166
469	35292	34090
470	35366	34015
471	35441	33940
472	35515	33863
473	35591	33789
474	35665	33712
475	35742	33640
476	35821	33568
477	35895	33492
478	35972	33419
479	36046	33343
480	36119	33266
481	36191	33187
482	36270	33116
483	36343	33039
484	36417	32963
485	36491	32887
486	36578	32823
487	36652	32747
488	36724	32669
489	36801	32595
490	36874	32518
491	36951	32445
492	37028	32371
493	37103	32296
494	37179	32222
495	37255	32147
496	37327	32069
497	37401	31993
498	37475	31917
499	37551	31843
500	37627	31769
501	37701	31693
502	37777	31618
503	37849	31541
504	37925	31466
505	38001	31392
506	38075	31316
507	38148	31239
508	38222	31163
509	38294	31085
510	38370	31011
511	38442	30934
512	38516	30858
513	38589	30781
514	38673	30713
515	38752	30641
516	38825	30564
517	38901	30490
518	38974	30413
519	39047	30336
520	39123	30262
521	39197	30186
522	39272	30111
523	39345	30034
524	39420	29959
525	39495	29884
526	39569	29808
527	39643	29732
528	39718	29657
529	39797	29585
530	39873	29510
531	39947	29434
532	40022	29360
533	40099	29286
534	40170	29208
535	40244	29132
536	40321	29058
537	40396	28983
538	40474	28910
539	40549	28834
540	40622	28758
541	40696	28682
542	40771	28607
543	40843	28530
544	40917	28454
545	40993	28380
546	41068	28304
547	41144	28230
548	41217	28154
549	41290	28077
550	41365	28002
551	41439	27926
552	41515	27852
553	41589	27776
554	41665	27701
555	41753	27635
556	41827	27559
557	41901	27483
558	41975	27408
559	42052	27334
560	42126	27258
561	42200	27182
562	42275	27107
563	42353	27033
564	42429	26959
565	42502	26883
566	42576	26807
567	42655	26734
568	42729	26658
569	42804	26583
570	42878	26507
571	42953	26432
572	43028	26357
573	43103	26282
574	43178	26207
575	43254	26133
576	43328	26057
577	43401	25980
578	43477	25906
579	43551	25830
580	43627	25755
581	43702	25680
582	43779	25606
583	43858	25534
584	43936	25460
585	44016	25388
586	44092	25313
587	44168	25239
588	44245	25164
589	44319	25089
590	44395	25014
591	44468	24938
592	44544	24863
593	44620	24789
594	44696	24714
595	44771	24639
596	44847	24564
597	44922	24489
598	45000	24415
599	45076	24341
600	45150	24265
601	45224	24189
602	45297	24113
603	45371	24037
604	45446	23962
605	45521	23887
606	45596	23812
607	45671	23737
608	45745	23661
609	45820	23586
610	45894	23510
611	45971	23436
612	46046	23361
613	46120	23285
614	46195	23210
615	46268	23134
616	46346	23060
617	46420	22984
618	46497	22910
619	46571	22834
620	46646	22759
621	46721	22684
622	46795	22609
623	46877	22537
624	46953	22462
625	47025	22385
626	47100	22310
627	47176	22236
628	47253	22161
629	47329	22087
630	47402	22011
631	47476	21935
632	47550	21859
633	47624	21784
634	47700	21709
635	47774	21633
636	47848	21558
637	47924	21483
638	47999	21408
639	48076	21333
640	48150	21258
641	48224	21182
642	48299	21107
643	48376	21033
644	48452	20958
645	48527	20883
646	48602	20808
647	48678	20733
648	48752	20657
649	48830	20583
650	48913	20511
651	48990	20437
652	49069	20364
653	49144	20289
654	49219	20213
655	49292	20137
656	49367	20062
657	49441	19987
658	49515	19911
659	49589	19835
660	49666	19761
661	49739	19685
662	49813	19609
663	49887	19534
664	49960	19458
665	50035	19383
666	50110	19307
667	50183	19232
668	50256	19156
669	50330	19080
670	50403	19004
671	50475	18928
672	50548	18852
673	50622	18776
674	50698	18702
675	50772	18626
676	50846	18551
677	50920	18475
678	50993	18399
679	51068	18324
680	51140	18248
681	51214	18172
682	51288	18097
683	51362	18021
684	51438	17947
685	51513	17871
686	51587	17796
687	51661	17721
688	51736	17645
689	51811	17570
690	51887	17495
691	51962	17421
692	52037	17345
693	52113	17271
694	52191	17196
695	52266	17121
696	52342	17047
697	52420	16972
698	52494	16897
699	52567	16821
700	52643	16746
701	52719	16671
702	52792	16596
703	52868	16521
704	52942	16445
705	53018	16371
706	53093	16295
707	53166	16220
708	53242	16145
709	53316	16070
710	53391	15994
711	53466	15919
712	53541	15844
713	53616	15769
714	53690	15694
715	53764	15618
716	53837	15542
717	53914	15468
718	53991	15393
719	54068	15319
720	54142	15243
721	54215	15168
722	54290	15093
723	54370	15019
724	54442	14943
725	54517	14868
726	54593	14793
727	54668	14718
728	54741	14642
729	54815	14567
730	54888	14491
731	54963	14416
732	55037	14341
733	55110	14265
734	55184	14190
735	55257	14114
736	55329	14038
737	55402	13963
738	55475	13887
739	55549	13812
740	55625	13737
741	55698	13661
742	55774	13587
743	55850	13512
744	55924	13437
745	56000	13361
746	56074	13286
747	56160	13214
748	56234	13138
749	56309	13063
750	56384	12988
751	56456	12913
752	56529	12837
753	56605	12762
754	56679	12687
755	56755	12612
756	56833	12537
757	56906	12462
758	56983	12387
759	57060	12313
760	57136	12238
761	57215	12163
762	57289	12088
763	57365	12013
764	57439	11938
765	57514	11863
766	57589	11788
767	57663	11712
768	57738	11637
769	57813	11562
770	57889	11487
771	57963	11412
772	58038	11337
773	58113	11262
774	58189	11187
775	58269	11113
776	58341	11037
777	58416	10962
778	58489	10887
779	58564	10811
780	58640	10736
781	58714	10661
782	58788	10586
783	58863	10511
784	58935	10435
785	59009	10360
786	59081	10284
787	59155	10209
788	59246	10137
789	59321	10062
790	59399	9987
791	59473	9912
792	59547	9837
793	59622	9761
794	59697	9686
795	59773	9611
796	59815	9531
797	59887	9455
798	59963	9381
799	60038	9306
800	60112	9230
801	60187	9155
802	60269	9081
803	60342	9006
804	60418	8931
805	60492	8856
806	60569	8781
807	60643	8706
808	60721	8631
809	60796	8556
810	60870	8481
811	60944	8406
812	61021	8331
813	61095	8256
814	61171	8181
815	61249	8106
816	61334	8032
817	61410	7957
818	61488	7883
819	61569	7808
820	61645	7733
821	61721	7658
822	61798	7583
823	61876	7509
824	61953	7434
825	61963	7351
826	62035	7276
